Feature_Index,Attention_Proxy_Score
0,0.08756309
16,0.08631423
15,0.08369006
30,0.08261433
2,0.08182643
7,0.081325136
34,0.080618516
18,0.08011251
17,0.07834136
24,0.07778005
45,0.07697244
11,0.07678417
8,0.07654354
39,0.07633947
28,0.07612831
25,0.076089434
22,0.075792275
10,0.075622134
41,0.075508334
1,0.07528769
44,0.07477758
13,0.07469725
37,0.07462865
14,0.0737237
27,0.073538885
35,0.07353336
12,0.073519506
3,0.07313632
31,0.07279927
43,0.07278974
23,0.07273239
42,0.07270299
26,0.07257652
36,0.0721518
32,0.072124735
40,0.07157421
33,0.071293406
9,0.07110245
6,0.070542954
21,0.07014534
38,0.06889932
4,0.06745417
5,0.06692411
29,0.06641818
20,0.062054116
19,0.061060514
